stockID;SKU;Name;Price;Stok;Barkod
8682125485102;HBV000012JKQA;Beyorganik Organik Keçiboynuzu Özü 315ml;249,00;3942;8682125485102
8682125485034;HBV000012JKQ8;Beyorganik Organik Dut Özü 315ml;337,90;2663;8682125485034
8682125485027;HBV0000140VXU;Beyorganik Organik Nar Ek_isi 350gr;280,00;4330;8682125485027
8682125484181;HBV0000135CBP;Beyorganik Organik Bal 850gr;1300,00;2391;8682125484181
BEY308;HBCV000000FAL0;Beyorganik Organik  Köftelik Bulgur 500gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);231,26;3631;0000000BEY308
8682125487571;HBCV0000007NB1;Beyorganik Çorbalık Tahıl Karı_ımı (Anadolu) 500gr;289,00;474994;8682125487571
8682125487724;HBCV0000007P43;Beyorganik Organik Yo_urtsuz tarhana 300gr;515,90;2647;8682125487724
ARPA_EHR_YE;HBCV0000007OYJ;Beyorganik Organik Arpa _ehriye 300gr;323,90;13385;00ARPA_EHR_YE
BEY413;HBCV00000093IQ;Beyorganik Organik Keçiboynuzu unu 250gr;331,90;14390;0000000BEY413
BEY228;HBCV000000B2DR;Beyorganik Organik Sarı Mercimek 1000gr;483,75;4293;BBeyorganik-EY228
8682125485331;HBV00000YPVOW;Beyorganik Organik Üzüm Sirkesi 500ml;460,00;2664;8682125485331
8682125485324;HBV00000YPVOY;Beyorganik Organik Alıç Sirkesi 500 ml;420,00;3298754;8682125485324
8680419375801;HBV00000J22TD;Beyorganik Karabu_day Unu 870 gr;531,00;11743;8680419375801
SKT-213;HBCV000001D0PS;Beyorganik Organik Baldo Pirinç 500gr;337,00;2897;000000SKT-213
8680419375153;HBCV000001DVVB;Beyorganik ORGAN_K Baldo Pirinç 1000gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);427,00;2518;8680419375153
8680419375078;AILEMINIK75078;Beyorganik Organik Pirinç Unu 500gr;230,00;2565;8680419375078
BEY281;HBCV000001INP2;Beyorganik Organik Patlak Mısır 1000gr;310,32;3004;0000000BEY281
BEY284;HBV000014F5TI;Beyorganik Organik Pirinç Karacada_ 1kg;490,00;2158;8682125485829
BEY205;HBCV000000B28N;Beyorganik ORGAN_K  Sarı Mercimek 500gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);389,00;2205;BeyorganikkBEY205
BEYMAKARNA1;HBCV000001L19R;Beyorganik Organik Kalem Makarna Uzun Penne 500gr;228,00;4872;00beymakarna1
8682125488462;HBCV000001L1AF;Beyorganik Organik Galeta Unu 285 gr;299,00;1990;8682125488462
BEY504;HBCV000001L19Z;Beyorganik Spagetti MAKARNA-500 gr;240,00;9693;0000000BEY504
8680419375528;HBV000001EKIM;Beyorganik Organik Ma_ Fasulyesi 500gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);348,00;7711;8680419375528
8682125484198;HBV00001361KQ;Beyorganik Organik Bal 500 gr;990,00;11999;8682125484198
8682125484945;HBCV0000092NND;Beyorganik Organik Tel _ehriye Ispanaklı Pancarlı 150 gr;290,20;2485;8682125484945
8682125482491;HBCV00000M7JDW;Beyorganik Organik Artizan Çikolata %70 Bitter 40gr;440,00;8191;8682125482491
8682125482514;HBCV00000M7JDS;Beyorganik Organik Artizan Çikolata  %100 Bitter 40gr;440,00;7087;8682125482514
8682125482477;HBCV00000M7JDQ;Beyorganik  Organik Artizan Çikolata  Sütlü Fındıklı 40gr;440,00;9399;8682125482477
BEY-TAH_N-1;HBCV00000M7JEK;Beyorganik Tahin 300 gr;362,90;14414;00BEY-TAH_N-1
8682125488769;HBCV00000M7JEH;Beyorganik Organik Elma Suyu Konsantresi(Tatlandırıcı) 248 gr;199,00;2179;8682125488769
HBCV00000ZE9MS;HBCV00000ZE9MS;Beyorganik Organik Kekik Suyu 180gr;345,00;98997;8682125480275
86821254824085;HBCV0000127P89;Beyorganik Organik Bey Tonik Zerdeçallı Zencefilli 185gr;779,90;34464;86821254824085
8682125480589;HBCV000015S9G4;Beyorganik Organik Burgu Makarna Siyah Havuç Brokoli Balkabaklı  240gr;303,14;95977;8682125480589
HBCV00001HU59W;HBCV00001HU59W;Beyorganik Organik Elma Suyu Konsantresi 685 gr (Tatlandırıcı);480,00;3409;bey-elmasuyu-konsantresi-5
HBCV00001POMIF;HBCV00001POMIF;Beyorganik Organik Elma Suyu Konsantresi 1300gr (Tatlandırıcı);549,90;18283;buyuk-elmasuyu-1385
8682125481821;HBCV00002QASTI;Beyorganik Organik Bey Atom 260 gr;740,00;5056;8682125481821
86804193756031;HBCV000034VDTE;Beyorganik Organik Burgu Makarna 500 gr;228,00;4762;86804193756031
8682125487548;HBCV000034VDTC;Beyorganik Organik Karabu_day Tane 440gr;321,00;17070;8682125487548
BEYTONIKMIX4;HBCV000036OWII;Beyorganik Organik Tonik - Bey Öz Miks Kı_ 2'li Set;1270,00;7948;0beytonikmix4
BEY-NOHUT-400;HBCV000036MY6C;Beyorganik ORGAN_K  Nohut 500gr;207,00;97792;bey-nohut-400
BEY-KURU-400;HBCV000036MY6B;Beyorganik ORGAN_K Kuru Fasulye Çalı 500gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);433,20;24397;0bey-kuru-400
8682125482057;HBCV00003GSTRZ;Beyorganik Organik Bey Mor Mix 260gr;780,00;45954;8682125482057
BEY-MIX4;HBCV00003MSV7D;Beyorganik Organik Bey Öz Miks 260gr;790,00;3367;00000bey-mix4
BEY-KIS-3;HBCV00003MSWCC;Beyorganik Organik Süper 3'lü Kı_ Paketi BEYÖZ Miks BEY TON_K BEY ATOM;1800,00;3932;0000bey-kıs-3
8682125482040;HBCV00003N09WV;Beyorganik Organik Bey Aronya Meyve Parçacıklı 260gr;570,00;8981;8682125482040
YULAF-285-2;HBCV00003WNCF0;Beyorganik Organik Yulaf Ezmesi 285 gr * 3'lü Paket;497,26;2667;00yulaf-285-2
48;HBCV000040204G;Beyorganik ORGAN_K  Çikolata Sütlü 40gr x 3;1100,00;4968;8682125483184
51;HBCV00004026E7;Beyorganik ORGAN_K Çikolata  Sütlü Fındıklı 40gr x 3adet;1100,00;8299;8682125483177
55;HBCV0000402Q1M;Beyorganik ORGAN_K  Çikolata Seti 3'lü ( Sütlü Fındıklı,sütlü,%70 Bitter );1100,00;4998;8682125483153
ENT-HB8680419375832;HBV000001EKIO;Beyorganik Organik Tarhana 500gr;441,00;18276;8680419375832
ENT-HB86821254802821;HBCV00004D6OFQ;Beyorganik ORGAN_K Zencefilli Zerdeçallı Tarhana 300gr (Ekstra So_an-Sarımsak _laveli) (PEST_S_T VE AFLATOKS_N ANAL_ZL_);495,00;2758;86821254802821
ENT-HB8680419375931;HBV000001EKIU;Beyorganik Organik Yulaf Ezmesi 500gr;299,50;15750;8680419375931
BEBEKIRMIK-32;HBCV00004DXCT1;Beyorganik Organik Bebek Irmik 350gr 3*lü Paket;660,00;3631;0bebekırmık32
ENT-HBSIYEZ-BULGUR-2;HBCV00004EPPR1;Beyorganik ORGAN_K  Siyez Pilavlık Bulgur 2,5kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);800,00;3866;sıyez-bulgur-2
ENT-HB8682125481852;HBCV00004EQEAP;Beyorganik Organik Bebek Ek Gıdası Organik 3 Tahıllı Yulaf Pirinç _rmik  250gr +6 Ay (PEST_S_T VE AFLATOKS_N ANAL_ZL_);441,00;9794;8682125481852
ENT-HB8682125482088;HBCV00004EQG6R;Beyorganik Organik Bebek _rmik 200gr;298,00;7005;8682125482088
ENT-HB8682125481326;HBCV00004EPEEK;Beyorganik Organik Mom's Mix 315gr;688,00;2611;8682125481326
ENT-HB8682125480633;HBCV00004FSL5X;Beyorganik Organik Yo_urtsuz Tarhana 300gr;515,90;3249;8682125480633
ENT-HBBEY356;HBCV00004F2KR7;Beyorganik Organik Tam Bu_day Unu 1kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);270,00;79038;0000000BEY356
ENT-HBSKT-409;HBCV00004F2L27;Beyorganik Organik Tam Yulaf Unu 500gr %100 Yerli Yulaf;294,90;156423;000000SKT-409
ENT-HB86821254846481;HBCV00004FQH29;Beyorganik ORGAN_K Ye_il Mercimek 2,5kg;950,00;9771;86821254846481
